frank input_files/Hamlet.txt:1
matthews input_files/Hamlet.txt:1
second input_files/Hamlet.txt:14
h input_files/Hamlet.txt:5
saker input_files/Hamlet.txt:1
player input_files/Hamlet.txt:8
cooke input_files/Hamlet.txt:1
rolleston input_files/Hamlet.txt:1
gertrude input_files/Hamlet.txt:9
queen input_files/Hamlet.txt:111
mother input_files/Hamlet.txt:30
mrs input_files/Hamlet.txt:1
ophelia input_files/Hamlet.txt:39
daughter input_files/Hamlet.txt:17
miss input_files/Hamlet.txt:2
heath input_files/Hamlet.txt:1
actress input_files/Hamlet.txt:1
directions input_files/Hamlet.txt:1
r input_files/Hamlet.txt:77
means input_files/Hamlet.txt:36
right input_files/Hamlet.txt:21
hand input_files/Hamlet.txt:19
l input_files/Hamlet.txt:47
left input_files/Hamlet.txt:5
u input_files/Hamlet.txt:1
e input_files/Hamlet.txt:24
upper input_files/Hamlet.txt:2
entrance input_files/Hamlet.txt:2
c input_files/Hamlet.txt:71
enters input_files/Hamlet.txt:2
through input_files/Hamlet.txt:7
centre input_files/Hamlet.txt:12
from input_files/Hamlet.txt:129
relative input_files/Hamlet.txt:3
positions input_files/Hamlet.txt:1
performers input_files/Hamlet.txt:1
when input_files/Hamlet.txt:51
side input_files/Hamlet.txt:7
reader input_files/Hamlet.txt:1
supposed input_files/Hamlet.txt:13
be input_files/Hamlet.txt:214
facing input_files/Hamlet.txt:1
audience input_files/Hamlet.txt:7
preface input_files/Hamlet.txt:1
play input_files/Hamlet.txt:48
above input_files/Hamlet.txt:7
all input_files/Hamlet.txt:110
others input_files/Hamlet.txt:6
most input_files/Hamlet.txt:61
stupendous input_files/Hamlet.txt:1
monument input_files/Hamlet.txt:4
genius input_files/Hamlet.txt:1
standing input_files/Hamlet.txt:4
beacon input_files/Hamlet.txt:1
command input_files/Hamlet.txt:11
wonder input_files/Hamlet.txt:4
admiration input_files/Hamlet.txt:6
world input_files/Hamlet.txt:19
memorial input_files/Hamlet.txt:1
future input_files/Hamlet.txt:5
generations input_files/Hamlet.txt:3
that input_files/Hamlet.txt:338
mind input_files/Hamlet.txt:15
its input_files/Hamlet.txt:27
moved input_files/Hamlet.txt:1
little input_files/Hamlet.txt:22
less input_files/Hamlet.txt:9
than input_files/Hamlet.txt:51
inspiration input_files/Hamlet.txt:1
lear input_files/Hamlet.txt:1
sublime input_files/Hamlet.txt:1
picture input_files/Hamlet.txt:4
human input_files/Hamlet.txt:4
miseryothello input_files/Hamlet.txt:1
harrowing input_files/Hamlet.txt:1
overthrow input_files/Hamlet.txt:2
nature input_files/Hamlet.txt:22
