enter input_files/MacBeth.txt:72
first input_files/MacBeth.txt:50
witch input_files/MacBeth.txt:52
when input_files/MacBeth.txt:41
shall input_files/MacBeth.txt:69
we input_files/MacBeth.txt:96
meet input_files/MacBeth.txt:9
again input_files/MacBeth.txt:20
rain input_files/MacBeth.txt:2
second input_files/MacBeth.txt:27
hurlyburlys input_files/MacBeth.txt:1
done input_files/MacBeth.txt:35
battles input_files/MacBeth.txt:1
lost input_files/MacBeth.txt:6
won input_files/MacBeth.txt:2
third input_files/MacBeth.txt:20
that input_files/MacBeth.txt:243
be input_files/MacBeth.txt:157
ere input_files/MacBeth.txt:12
sun input_files/MacBeth.txt:4
upon input_files/MacBeth.txt:61
there input_files/MacBeth.txt:40
come input_files/MacBeth.txt:54
graymalkin input_files/MacBeth.txt:1
paddock input_files/MacBeth.txt:1
calls input_files/MacBeth.txt:3
anon input_files/MacBeth.txt:6
all input_files/MacBeth.txt:114
fair input_files/MacBeth.txt:5
foul input_files/MacBeth.txt:5
hover input_files/MacBeth.txt:1
fog input_files/MacBeth.txt:1
filthy input_files/MacBeth.txt:2
air input_files/MacBeth.txt:14
exeunt input_files/MacBeth.txt:32
alarum input_files/MacBeth.txt:3
meeting input_files/MacBeth.txt:5
bleeding input_files/MacBeth.txt:2
captain input_files/MacBeth.txt:2
what input_files/MacBeth.txt:99
bloody input_files/MacBeth.txt:15
he input_files/MacBeth.txt:119
can input_files/MacBeth.txt:33
report input_files/MacBeth.txt:9
as input_files/MacBeth.txt:100
seemeth input_files/MacBeth.txt:1
plight input_files/MacBeth.txt:1
revolt input_files/MacBeth.txt:2
newest input_files/MacBeth.txt:3
sergeant input_files/MacBeth.txt:1
who input_files/MacBeth.txt:44
like input_files/MacBeth.txt:40
good input_files/MacBeth.txt:52
hardy input_files/MacBeth.txt:1
fought input_files/MacBeth.txt:2
gainst input_files/MacBeth.txt:4
my input_files/MacBeth.txt:190
captivityhail input_files/MacBeth.txt:1
brave input_files/MacBeth.txt:2
friend input_files/MacBeth.txt:5
say input_files/MacBeth.txt:38
knowledge input_files/MacBeth.txt:3
broil input_files/MacBeth.txt:1
thou input_files/MacBeth.txt:88
didst input_files/MacBeth.txt:3
leave input_files/MacBeth.txt:12
doubtful input_files/MacBeth.txt:2
stood input_files/MacBeth.txt:4
two input_files/MacBeth.txt:11
spent input_files/MacBeth.txt:2
swimmers input_files/MacBeth.txt:1
do input_files/MacBeth.txt:99
cling input_files/MacBeth.txt:2
together input_files/MacBeth.txt:6
choke input_files/MacBeth.txt:1
their input_files/MacBeth.txt:61
art input_files/MacBeth.txt:17
merciless input_files/MacBeth.txt:1
macdonwald input_files/MacBeth.txt:1
worthy input_files/MacBeth.txt:17
rebel input_files/MacBeth.txt:2
multiplying input_files/MacBeth.txt:1
villainies input_files/MacBeth.txt:1
nature input_files/MacBeth.txt:20
swarm input_files/MacBeth.txt:1
him input_files/MacBeth.txt:90
from input_files/MacBeth.txt:71
western input_files/MacBeth.txt:1
isles input_files/MacBeth.txt:1
kerns input_files/MacBeth.txt:3
gallowglasses input_files/MacBeth.txt:1
supplied input_files/MacBeth.txt:1
fortune input_files/MacBeth.txt:7
damned input_files/MacBeth.txt:3
quarrel input_files/MacBeth.txt:2
smiling input_files/MacBeth.txt:2
showd input_files/MacBeth.txt:2
rebels input_files/MacBeth.txt:2
whore input_files/MacBeth.txt:1
but input_files/MacBeth.txt:121
alls input_files/MacBeth.txt:4
too input_files/MacBeth.txt:25
weak input_files/MacBeth.txt:2
well input_files/MacBeth.txt:44
deserves input_files/MacBeth.txt:2
name input_files/MacBeth.txt:15
disdaining input_files/MacBeth.txt:1
brandishd input_files/MacBeth.txt:2
steel input_files/MacBeth.txt:2
which input_files/MacBeth.txt:87
smokd input_files/MacBeth.txt:1
execution input_files/MacBeth.txt:3
valours input_files/MacBeth.txt:1
minion input_files/MacBeth.txt:1
carvd input_files/MacBeth.txt:1
out input_files/MacBeth.txt:27
passage input_files/MacBeth.txt:2
till input_files/MacBeth.txt:20
facd input_files/MacBeth.txt:1
slave input_files/MacBeth.txt:3
neer input_files/MacBeth.txt:3
shook input_files/MacBeth.txt:1
hands input_files/MacBeth.txt:13
nor input_files/MacBeth.txt:24
bade input_files/MacBeth.txt:3
farewell input_files/MacBeth.txt:4
unseamd input_files/MacBeth.txt:1
nave input_files/MacBeth.txt:1
chops input_files/MacBeth.txt:1
fixd input_files/MacBeth.txt:1
head input_files/MacBeth.txt:10
our input_files/MacBeth.txt:123
battlements input_files/MacBeth.txt:2
o input_files/MacBeth.txt:32
valiant input_files/MacBeth.txt:4
cousin input_files/MacBeth.txt:6
gentleman input_files/MacBeth.txt:3
whence input_files/MacBeth.txt:6
gins input_files/MacBeth.txt:1
reflection input_files/MacBeth.txt:1
shipwracking input_files/MacBeth.txt:1
storms input_files/MacBeth.txt:1
direful input_files/MacBeth.txt:1
thunders input_files/MacBeth.txt:1
break input_files/MacBeth.txt:4
so input_files/MacBeth.txt:95
spring input_files/MacBeth.txt:2
comfort input_files/MacBeth.txt:5
seemd input_files/MacBeth.txt:3
discomfort input_files/MacBeth.txt:2
swells input_files/MacBeth.txt:1
mark input_files/MacBeth.txt:4
sooner input_files/MacBeth.txt:2
justice input_files/MacBeth.txt:3
had input_files/MacBeth.txt:33
valour input_files/MacBeth.txt:4
armd input_files/MacBeth.txt:2
compelld input_files/MacBeth.txt:1
these input_files/MacBeth.txt:26
skipping input_files/MacBeth.txt:1
trust input_files/MacBeth.txt:4
heels input_files/MacBeth.txt:2
norweyan input_files/MacBeth.txt:3
lord input_files/MacBeth.txt:37
surveying input_files/MacBeth.txt:1
vantage input_files/MacBeth.txt:3
furbishd input_files/MacBeth.txt:1
arms input_files/MacBeth.txt:2
new input_files/MacBeth.txt:15
supplies input_files/MacBeth.txt:1
men input_files/MacBeth.txt:16
began input_files/MacBeth.txt:3
fresh input_files/MacBeth.txt:1
assault input_files/MacBeth.txt:1
dismayd input_files/MacBeth.txt:1
captains input_files/MacBeth.txt:1
yes input_files/MacBeth.txt:2
sparrows input_files/MacBeth.txt:1
eagles input_files/MacBeth.txt:1
hare input_files/MacBeth.txt:1
lion input_files/MacBeth.txt:1
sooth input_files/MacBeth.txt:2
must input_files/MacBeth.txt:45
they input_files/MacBeth.txt:73
were input_files/MacBeth.txt:39
cannons input_files/MacBeth.txt:1
overchargd input_files/MacBeth.txt:1
double input_files/MacBeth.txt:11
cracks input_files/MacBeth.txt:1
doubly input_files/MacBeth.txt:1
redoubled input_files/MacBeth.txt:1
strokes input_files/MacBeth.txt:2
foe input_files/MacBeth.txt:1
except input_files/MacBeth.txt:6
meant input_files/MacBeth.txt:1
bathe input_files/MacBeth.txt:1
reeking input_files/MacBeth.txt:1
wounds input_files/MacBeth.txt:3
memorize input_files/MacBeth.txt:1
golgotha input_files/MacBeth.txt:1
cannot input_files/MacBeth.txt:24
tell input_files/MacBeth.txt:10
am input_files/MacBeth.txt:30
faint input_files/MacBeth.txt:1
gashes input_files/MacBeth.txt:3
cry input_files/MacBeth.txt:9
help input_files/MacBeth.txt:9
thy input_files/MacBeth.txt:52
words input_files/MacBeth.txt:10
become input_files/MacBeth.txt:4
thee input_files/MacBeth.txt:60
smack input_files/MacBeth.txt:1
honour input_files/MacBeth.txt:10
bothgo input_files/MacBeth.txt:1
get input_files/MacBeth.txt:8
surgeons input_files/MacBeth.txt:1
exit input_files/MacBeth.txt:25
attended input_files/MacBeth.txt:1
comes input_files/MacBeth.txt:12
here input_files/MacBeth.txt:35
thane input_files/MacBeth.txt:25
haste input_files/MacBeth.txt:3
looks input_files/MacBeth.txt:2
eyes input_files/MacBeth.txt:10
should input_files/MacBeth.txt:43
look input_files/MacBeth.txt:24
seems input_files/MacBeth.txt:5
speak input_files/MacBeth.txt:29
things input_files/MacBeth.txt:25
strange input_files/MacBeth.txt:16
god input_files/MacBeth.txt:14
save input_files/MacBeth.txt:1
camst input_files/MacBeth.txt:1
great input_files/MacBeth.txt:31
banners input_files/MacBeth.txt:2
flout input_files/MacBeth.txt:1
sky input_files/MacBeth.txt:1
fan input_files/MacBeth.txt:1
people input_files/MacBeth.txt:7
cold input_files/MacBeth.txt:5
norway input_files/MacBeth.txt:2
himself input_files/MacBeth.txt:8
terrible input_files/MacBeth.txt:5
numbers input_files/MacBeth.txt:2
assisted input_files/MacBeth.txt:1
disloyal input_files/MacBeth.txt:1
traitor input_files/MacBeth.txt:5
cawdor input_files/MacBeth.txt:21
dismal input_files/MacBeth.txt:3
conflict input_files/MacBeth.txt:1
bellonas input_files/MacBeth.txt:1
bridegroom input_files/MacBeth.txt:1
lappd input_files/MacBeth.txt:1
proof input_files/MacBeth.txt:1
confronted input_files/MacBeth.txt:1
selfcomparisons input_files/MacBeth.txt:1
point input_files/MacBeth.txt:5
against input_files/MacBeth.txt:15
rebellious input_files/MacBeth.txt:2
arm input_files/MacBeth.txt:3
curbing input_files/MacBeth.txt:1
lavish input_files/MacBeth.txt:1
spirit input_files/MacBeth.txt:3
conclude input_files/MacBeth.txt:1
victory input_files/MacBeth.txt:1
fell input_files/MacBeth.txt:8
us input_files/MacBeth.txt:62
