wore input_files/Hamlet.txt:4
hell input_files/Hamlet.txt:9
gape input_files/Hamlet.txt:1
else input_files/Hamlet.txt:8
fare input_files/Hamlet.txt:5
arms input_files/Hamlet.txt:8
foul input_files/Hamlet.txt:10
soul input_files/Hamlet.txt:29
rise input_files/Hamlet.txt:2
mens input_files/Hamlet.txt:1
iiia input_files/Hamlet.txt:1
loss input_files/Hamlet.txt:2
list input_files/Hamlet.txt:4
keep input_files/Hamlet.txt:14
rear input_files/Hamlet.txt:2
shot input_files/Hamlet.txt:4
maid input_files/Hamlet.txt:7
moon input_files/Hamlet.txt:4
wary input_files/Hamlet.txt:2
lies input_files/Hamlet.txt:5
near input_files/Hamlet.txt:6
path input_files/Hamlet.txt:1
read input_files/Hamlet.txt:8
wind input_files/Hamlet.txt:14
sail input_files/Hamlet.txt:2
dull input_files/Hamlet.txt:5
palm input_files/Hamlet.txt:3
mans input_files/Hamlet.txt:7
rich input_files/Hamlet.txt:5
loan input_files/Hamlet.txt:1
edge input_files/Hamlet.txt:2
said input_files/Hamlet.txt:15
late input_files/Hamlet.txt:8
free input_files/Hamlet.txt:13
many input_files/Hamlet.txt:11
pooh input_files/Hamlet.txt:1
girl input_files/Hamlet.txt:3
call input_files/Hamlet.txt:20
baby input_files/Hamlet.txt:2
taen input_files/Hamlet.txt:2
fool input_files/Hamlet.txt:11
holy input_files/Hamlet.txt:1
vows input_files/Hamlet.txt:5
talk input_files/Hamlet.txt:3
ways input_files/Hamlet.txt:4
lhue input_files/Hamlet.txt:9
held input_files/Hamlet.txt:3
wont input_files/Hamlet.txt:3
does input_files/Hamlet.txt:19
mean input_files/Hamlet.txt:14
wake input_files/Hamlet.txt:2
bray input_files/Hamlet.txt:1
airs input_files/Hamlet.txt:1
jaws input_files/Hamlet.txt:1
pins input_files/Hamlet.txt:2
base input_files/Hamlet.txt:3
draw input_files/Hamlet.txt:5
ruld input_files/Hamlet.txt:2
lets input_files/Hamlet.txt:8
wilt input_files/Hamlet.txt:6
lead input_files/Hamlet.txt:4
mark input_files/Hamlet.txt:10
alas input_files/Hamlet.txt:5
pity input_files/Hamlet.txt:4
lend input_files/Hamlet.txt:2
fast input_files/Hamlet.txt:4
days input_files/Hamlet.txt:7
tale input_files/Hamlet.txt:3
hair input_files/Hamlet.txt:3
find input_files/Hamlet.txt:15
weed input_files/Hamlet.txt:1
rots input_files/Hamlet.txt:2
stir input_files/Hamlet.txt:3
lust input_files/Hamlet.txt:1
went input_files/Hamlet.txt:4
vial input_files/Hamlet.txt:1
pour input_files/Hamlet.txt:2
sent input_files/Hamlet.txt:15
gins input_files/Hamlet.txt:1
grow input_files/Hamlet.txt:3
seat input_files/Hamlet.txt:1
wipe input_files/Hamlet.txt:1
illo input_files/Hamlet.txt:1
bird input_files/Hamlet.txt:2
neer input_files/Hamlet.txt:4
wild input_files/Hamlet.txt:1
oath input_files/Hamlet.txt:2
help input_files/Hamlet.txt:11
need input_files/Hamlet.txt:4
rest input_files/Hamlet.txt:12
lack input_files/Hamlet.txt:7
lips input_files/Hamlet.txt:2
born input_files/Hamlet.txt:3
cant input_files/Hamlet.txt:1
full input_files/Hamlet.txt:22
just input_files/Hamlet.txt:5
view input_files/Hamlet.txt:1
gold input_files/Hamlet.txt:1
iron input_files/Hamlet.txt:1
gave input_files/Hamlet.txt:6
fill input_files/Hamlet.txt:3
warm input_files/Hamlet.txt:3
rule input_files/Hamlet.txt:2
pure input_files/Hamlet.txt:2
able input_files/Hamlet.txt:1
